University Name,Program Title,Program URL,Program Overview,Total Credit Hours/Units,Duration,Delivery Format,Core Courses,Specializations/Tracks,Elective Courses,Capstone/Project Requirement,Internship/Practicum,Program Learning Outcomes,Skills and Tools Emphasized,Faculty Profiles,Research Labs/Initiatives,Research Opportunities,Unnamed: 17
American University in Cairo,Master of Science in Computer Science,https://catalog.aucegypt.edu/preview_program.php?catoid=39&poid=6893,"Structured program focusing on advanced topics in computer science, including AI and data mining","33 credits (9 core, 15 elective, 9 thesis)","2 years, full-time",On-campus,"Algorithms and Theory, Data Management and Systems, Machine Learning (ML) and Artificial Intelligence (AI)","Data Mining, Machine Learning, AI","Advanced Data Mining (CSCE 664/6261) – 3 credits, Computational Machine Learning (CSCE 527/5262) – 3 credits",9-credit thesis with original research,"Not specified, practical experience through research projects","Proficiency in analyzing computing problems, advanced techniques, conducting research","Algorithms, distributed systems, AI, machine learning, data mining","Faculty with expertise in AI, data mining, distributed systems",Access to labs and research groups in machine learning and AI,Research opportunities through the thesis component and faculty collaboration,
École Polytechnique Fédérale de Lausanne (EPFL),Master of Science in Data Science,https://www.epfl.ch/education/master/programs/data-science/,Interdisciplinary program offering foundational theories and practical skills in data science and analytics,120 ECTS credits,"2 years, full-time",On-campus,"Data Analysis and Statistics, Algorithms and Theory, Data Management and Systems, Machine Learning (ML) and Artificial Intelligence (AI)",Data Science,"Electives include Advanced Cryptography, Deep Learning, Computational Neurosciences","Master's project at EPFL, in industry, or at another university",Mandatory internship lasting 8 weeks (summer) or 6 months (semester),"Proficiency in handling and extracting knowledge from large datasets, applying ML and data solutions","Python, Java, C++, machine learning, statistical analysis, data management tools","Faculty from Schools of Computer Science, Basic Sciences, and Engineering","Access to labs researching machine learning, AI, and big data analytics",Opportunities via Master's project and collaborations with faculty and industry,
ETH Zurich,Master of Science in Data Science,https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/data-science.html,Interdisciplinary program combining theoretical foundations with practical experience in data science,120 ECTS credits,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Management and Systems, Data Analysis and Statistics","Computer Science, Mathematics, IT",Wide range of electives across data science domains,Data Science Laboratory and Master's thesis as capstone projects,Not explicitly required; practical experience emphasized in projects,"Proficiency in managing datasets, developing algorithms, and solving real-world problems","Python, R, machine learning, statistical analysis, data management, visualization tools","Faculty from Computer Science, Mathematics, and Electrical Engineering departments","Access to ETH Zurich labs researching machine learning, data analytics, and AI","Opportunities via thesis and lab projects, often in collaboration with faculty and industry",
Harvard University,Master of Science in Data Science,https://seas.harvard.edu/masters-data-science,"Jointly led by the Computer Science and Statistics faculties, this program trains students in statistical modeling, machine learning, and data management.",Credit-based; includes core courses and optional thesis project.,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Management and Systems, Optimization and Mathematical Foundations, Data Analysis and Statistics","Computational Methods, Statistics","Electives in advanced machine learning, big data technologies, and optimization.",Optional master’s thesis research project.,Not specified; practical experience emphasized through coursework and optional research.,Graduates are proficient in computational and statistical techniques for data analysis.,"Python, R, statistical modeling, machine learning, data management",Faculty from Harvard's Computer Science and Statistics departments.,"Access to research labs in data science, machine learning, and AI.",Opportunities through thesis projects and faculty collaborations.,
Harvard University,Master of Liberal Arts (ALM) in Data Science,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"Offered through the Harvard Extension School, this program provides a comprehensive understanding of data science, designed for working professionals.","Credit-based; includes core and elective courses, along with a capstone project.",Varies; typically part-time over 2-3 years.,Hybrid,Big Data and Data Science,Data Science,Electives tailored to individual career goals in data science and analytics.,Capstone project involving real-world data challenges with industry collaboration.,Not required; program emphasizes practical experience through the capstone project.,Graduates are proficient in applying data science tools and techniques to solve real-world problems.,"Python, R, data visualization, big data technologies, data analysis",Faculty from Harvard Extension School and collaborating departments.,Access to online resources and collaboration opportunities with industry partners.,Research opportunities through the capstone project and applied coursework.,
Indian Institute of Technology Bombay,M.S. by Research in Data Science and Artificial Intelligence,https://www.iitb.ac.in/newacadhome/CMInDS-MSBR_AdmBrochure23-24.pdf,Interdisciplinary program focusing on advancing Data Science and AI through cutting-edge research,"Completion of five breadth courses, a seminar, communication skills course, R&D project, and thesis","1.5 to 3 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Optimization and Mathematical Foundations, Data Analysis and Statistics","Data Science, AI",Electives available for specific interests in DS and AI,Completion of R&D project and thesis,"Not specified, practical experience through R&D projects","Proficiency in data analysis, machine learning, and AI-driven solutions","Python, R, machine learning, NLP, data visualization, statistical analysis",Faculty from CMInDS with expertise in Data Science and AI,"Access to labs and research groups in AI, ML, and data science",Research opportunities via thesis projects and collaborations with faculty,
Imperial College London,MSc in Statistics (Data Science),https://www.imperial.ac.uk/study/courses/postgraduate-taught/statistics-data-science/,"Comprehensive training in theoretical and applied statistics, focusing on data science techniques","Core modules, optional modules, and a research project (credits per guidelines)","1 year, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Big Data and Data Science","Statistics, Data Science",Electives tailored to data science and statistical interests,Research project addressing real-world data science challenges,"Not specified, practical experience emphasized in projects","Proficiency in data analysis, machine learning, and data-driven solutions","Python, R, statistical analysis, big data technologies, machine learning",Faculty from the Department of Mathematics with expertise in statistics and data science,"Access to research labs in ML, data analytics, and AI",Research opportunities via projects and collaboration with industry,
KCA University,Master of Science in Data Science,https://www.kcau.ac.ke/course/master-of-science-in-data-science/,"Designed to equip graduates with professional knowledge and skills in data science, including Big Data analytics, data programming, and research skills.",Credit-based; details not specified.,2 years (6 trimesters).,Not specified.,"Programming and Tools, Big Data and Data Science","Data Analytics, Data Engineering, Data Architecture",Electives not specified; program emphasizes core topics.,Not specified.,Not specified; emphasis on academic and practical applications.,"Graduates will acquire the appropriate skills, experiences, and knowledge to undertake research at the Ph.D. level and contribute significantly to data science products.","Big Data analytics, data programming, research methodologies.",Information not provided.,Information not provided.,"Graduates interested in research will acquire the appropriate skills, experiences, and knowledge to undertake research at the Ph.D. level.",
KU Leuven,Master of Science in Statistics and Data Science,https://www.kuleuven.be/programmes/master-statistics-data-science,Intensive training in both theoretical and practical aspects of statistics and data science,120 ECTS credits,"2 years, full-time",Hybrid,Data Analysis and Statistics,"Biometrics, Social Sciences, Business Analytics",Electives tailored to specific interests in statistics and data science,Master's thesis involving research or practical projects,"Not mandatory, but internships are encouraged for enhanced learning","Proficiency in applying statistical methodologies, conducting research, and solving real-world problems","R, Python, SAS, machine learning, data analysis, and visualization techniques",Faculty from Leuven Statistics Research Centre (LStat) with diverse expertise,"Access to LStat, a multidisciplinary research center",Research opportunities via thesis projects and collaborations with industry,
McGill University,Master of Management in Analytics (MMA),https://www.mcgill.ca/desautels/programs/mma,"Specialized program focusing on analytics and data science with an emphasis on applied learning through quantitative methods, technology automation, and business applications.",Credit-based; details not specified.,"12 months, full-time",On-campus,"Specialized Applications, Data Analysis and Statistics",Business Analytics,Electives not specified; core program is structured.,Capstone consulting project with company collaboration.,Not required; practical experience emphasized through capstone projects.,Graduates acquire skills to provide data-driven solutions in business contexts.,"Python, R, data analytics, machine learning, business intelligence",Faculty from the Desautels Faculty of Management.,No specific labs mentioned; emphasis on applied projects.,Research opportunities through capstone consulting projects.,
McGill University,Master of Science (M.Sc.) in Computer Science,https://www.mcgill.ca/gradapplicants/program/computer-science-msc-non-thesis,Comprehensive education in computer science with opportunities to specialize in data science through electives and research.,Credit-based; details not specified.,"2 years, full-time",On-campus,"Programming and Tools, Algorithms and Theory, Machine Learning (ML) and Artificial Intelligence (AI)",Data Science,"Electives in advanced machine learning, big data technologies.",Thesis or project option involving substantial research components.,Not required; emphasis on research-oriented learning.,Graduates gain proficiency in computer science and advanced data science methods.,"Python, Java, algorithms, machine learning, data mining",Faculty from the School of Computer Science.,Access to computer science research labs and centers.,Research opportunities through thesis or project work.,
McGill University,Master of Information Studies (MISt),https://www.mcgill.ca/sis/programs/mist,"Program offering concentrations in areas like Data Science, preparing graduates to work as information professionals.",Credit-based; details not specified.,"2 years, full-time",On-campus,"Programming and Tools, Big Data and Data Science","Data Science, Information Studies",Electives tailored to individual career goals in data science and information systems.,Research project component allowing students to delve into topics of interest.,Not required; program emphasizes practical experience through projects.,"Graduates are skilled in data management, data analysis, and information systems.","Python, R, database systems, data mining, information security",Faculty from the School of Information Studies.,Access to labs and projects focusing on data science and information systems.,Research opportunities through the research project component.,
Massachusetts Institute of Technology,Master of Business Analytics (MBAn),https://mitsloan.mit.edu/master-of-business-analytics,"A 12-month program focusing on modern data science, optimization, and machine learning to solve business challenges.",Credit-based; includes core courses and a 7-month capstone project.,"12 months, full-time",On-campus,"Optimization and Mathematical Foundations, Machine Learning (ML) and Artificial Intelligence (AI)",Business Analytics,Not applicable; core program is fixed.,7-month Analytics Capstone Project with industry collaboration.,"Industry collaboration in the capstone project, practical experience emphasized.",Graduates are prepared to tackle real-world business problems using advanced data science techniques.,"Python, R, machine learning, optimization, data visualization",Faculty from MIT Sloan and the Operations Research Center.,Collaborations with the Operations Research Center and industry partners.,Opportunities through capstone projects addressing real-world challenges.,
Massachusetts Institute of Technology,MicroMasters Program in Statistics and Data Science,https://micromasters.mit.edu/ds/,"An online program providing foundational knowledge in statistics, data analysis, and machine learning.",4 core courses; credit applicable for advanced degrees.,Self-paced,Online,Machine Learning (ML) and Artificial Intelligence (AI),No Formal Tracks,No electives; program consists of fixed core courses.,Final exam is the capstone for credentialing.,Not applicable; program is online and focused on theoretical and applied knowledge.,Participants gain a solid foundation in statistical and machine learning techniques.,"Python, R, statistical analysis, machine learning",Faculty from MIT's School of Engineering and affiliated departments.,Access to online learning resources and collaboration opportunities with peers.,Pathway to advanced degrees or professional growth in data science.,
Massachusetts Institute of Technology,"Master of Engineering in Computer Science, Economics, and Data Science (6-14P)",https://catalog.mit.edu/interdisciplinary/graduate-programs/computer-science-economics-data-science/,"An interdisciplinary program combining computer science, economics, and data science to address complex problems in these fields.",Credit-based; includes advanced graduate subjects and a Master's-level thesis.,"Varies; typically 2 years, full-time",On-campus,Optimization and Mathematical Foundations,"Economics, Computer Science, Data Science","Electives in advanced computing, machine learning, and economic modeling.",Master's-level thesis addressing a complex interdisciplinary problem.,Research-oriented program with emphasis on solving real-world challenges.,Graduates are proficient in applying interdisciplinary methods to solve economic and computational problems.,"Python, R, statistical modeling, optimization, advanced economic theories","Faculty from the Department of Electrical Engineering and Computer Science, Economics, and related fields.",Access to interdisciplinary research labs and centers.,Thesis projects and collaborations with faculty and industry.,
National University of Singapore,Master of Science in Data Science and Machine Learning,https://www.math.nus.edu.sg/ms-dsml-v1/,Interdisciplinary program to develop leaders in data science and AI,40 units (5 core courses + 5 elective courses),Full-time: 1-2 years; Part-time: 2-4 years,On-campus,"Data Management and Systems, Optimization and Mathematical Foundations, Machine Learning (ML) and Artificial Intelligence (AI)",Data Science,Electives available for tailored learning in specific areas,Capstone project applying knowledge to real-world problems,"Not specified, practical experience emphasized in projects","Proficiency in analyzing datasets, applying ML algorithms, and developing data-driven solutions","Python, R, machine learning, NLP, data visualization, statistical analysis",Faculty from Mathematics and other departments with expertise in data science,"Access to labs and research groups in ML, AI, and data science",Research opportunities via the capstone project and faculty collaboration,
Peking University,Master of Finance (Business Analytics),https://en.gsm.pku.edu.cn/mfin_ba/,Program integrating finance with data science and analytics to cultivate experts in data-driven financial solutions,"Completion of core courses, electives, and a capstone project (credits per guidelines)","2 years, full-time",On-campus,Programming and Tools,"Business Analytics, Finance",Electives tailored to specific interests in business and data analytics,Capstone project applying knowledge to real-world financial problems,"Not specified, practical experience emphasized in projects","Proficiency in data analysis, machine learning, and financial technology solutions","Python, R, SQL, data visualization, statistical analysis, financial technologies",Faculty from Guanghua School of Management with expertise in finance and data science,"Access to labs and research groups in AI, ML, data science, and financial technologies",Research opportunities via capstone projects and collaborations with faculty,
Stanford University,Master of Science in Statistics: Data Science Track,https://statistics.stanford.edu/academic-programs/statistics-ms/statistics-data-science-ms-overview,"Comprehensive education in statistical theory and methods, with an emphasis on data science applications.",Credit-based; includes core courses and electives.,"2 years, full-time",On-campus,Data Analysis and Statistics,"Statistics, Data Science","Electives in advanced topics like machine learning, time series, and data visualization.",Optional independent study or research projects under faculty supervision.,Not specified; practical experience emphasized through coursework.,Graduates are proficient in statistical methods and their application in data science domains.,"R, Python, data mining, statistical modeling, regression analysis",Faculty from Stanford's Statistics Department.,Access to the Stanford Statistics Department research labs.,Opportunities through independent studies and collaborations.,
Stanford University,Master of Science in Education Data Science,https://ed.stanford.edu/eds,Integrates computer science and statistics with education and social science theory for data-driven education research.,Credit-based; includes core courses and capstone project.,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Analysis and Statistics","Education, Data Science","Electives in educational psychology, sociology, and related fields.",Capstone project under the mentorship of Graduate School of Education faculty.,Not specified; practical experience emphasized through capstone project.,Graduates apply data science to solve problems in education research and practice.,"Python, R, data analysis, machine learning, education-focused visualization tools",Faculty from Stanford's Graduate School of Education.,Access to research centers in education and data science.,Opportunities through capstone projects and collaborations.,
Stanford University,Master of Science in Biomedical Data Science,https://online.stanford.edu/programs/biomedical-data-science-ms-degree,Trains students to design and implement computational methods to solve challenges in biology and medicine.,Credit-based; includes core courses and thesis project.,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Analysis and Statistics","Biometrics, Computational Methods","Electives in genomics, imaging, and clinical informatics.",Master's thesis based on original research.,Not specified; research-oriented practical experience emphasized.,Graduates are skilled in computational and data-driven problem-solving in medicine and biology.,"Python, R, bioinformatics tools, machine learning, biostatistics",Faculty from Stanford's Department of Biomedical Data Science.,"Access to labs in biomedical informatics, genomics, and clinical data science.",Research opportunities through thesis projects and faculty collaborations.,
Stellenbosch University,Master of Science in Machine Learning and Artificial Intelligence,https://mlai.sun.ac.za/,Structured program focusing on fundamentals and advanced concepts of machine learning and artificial intelligence,180 credits (coursework + research project),"1 year, full-time",On-campus,Machine Learning (ML) and Artificial Intelligence (AI),"NLP, Computer Vision, Reinforcement Learning",Electives available for tailored learning,Research project applying machine learning to real-world problems,"Not specified, practical experience through research projects","Proficiency in analyzing datasets, applying ML algorithms, and AI development","Python, TensorFlow, PyTorch, data visualization, deep learning",Interdisciplinary faculty from the Department of Mathematical Sciences,"Access to research groups and labs in ML, AI, data analytics",Research opportunities through projects in collaboration with faculty and industry,
Technical University of Munich,Master of Science in Data Engineering and Analytics,https://www.tum.de/en/studies/degree-programs/detail/data-engineering-and-analytics-master-of-science-msc,"Program addressing the need to process and analyze large datasets, combining theory with practical applications",120 ECTS credits,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Management and Systems, Data Analysis and Statistics","Data Engineering, Analytics","Electives in distributed systems, high-performance computing, query optimization",Capstone project or thesis involving real-world data problems,"Not explicitly required, practical experience emphasized in projects","Proficiency in managing data pipelines, analyzing datasets, and developing scalable data solutions","Python, R, SQL, machine learning, distributed systems, data visualization","Faculty from Computer Science, Mathematics, and Electrical Engineering departments","Research labs focusing on machine learning, high-performance computing, and big data",Opportunities through thesis and capstone projects with faculty and industry,
Tsinghua University,Master of Science in Data Science and Information Technology,https://www.tbsi.edu.cn/english/2022/0701/c4832a55925/page.htm,Interdisciplinary program aimed at cultivating international talents in data science and IT,"Completion of coursework, capstone project, and thesis (credits per program guidelines)","2-3 years, full-time",On-campus,Uncategorized,"AI, Data Science, IoT, Robotics, Logistics",Electives available for tailored learning in specific areas,Capstone project applying knowledge to real-world problems,"Not specified, practical experience emphasized in projects","Proficiency in analyzing datasets, applying ML algorithms, and developing data-driven solutions","Python, R, machine learning, AI, data visualization, statistical analysis","Faculty with expertise in data science, AI, and IT from TBSI","Access to labs and research groups in ML, AI, and IT",Research opportunities via capstone projects and collaborations with faculty,
"University of California, Berkeley",Master of Information and Data Science (MIDS),https://www.ischool.berkeley.edu/programs/mids,"Online professional degree program designed for working professionals, integrating computer science, statistics, management, and law.",27 units,"12-32 months (accelerated, standard, or decelerated paths)",Online,"Miscellaneous, Research and Experimental Design, Machine Learning (ML) and Artificial Intelligence (AI)","Flexible Electives, Data Science","Electives include Advanced Machine Learning, Natural Language Processing, and Data Visualization",Capstone project requiring integration of skills and concepts learned throughout the program,Not mandatory; experiential and project-based learning is emphasized,"Graduates can work with data at scale, derive insights from complex datasets, and solve real-world problems using advanced analytical methods","Data engineering, machine learning, NLP, data visualization, statistical analysis, research design",Faculty from UC Berkeley and industry experts,Access to School of Information initiatives and projects,Research opportunities through capstone projects and electives,
Pontifical Catholic University of Chile,Master's Program in Data Science,https://www.uc.cl/en/academics/graduate-programs/masters-programs/data-science/,"Master's program focusing on data analysis, machine learning, and big data technologies.",Credit-based; details not specified.,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Analysis and Statistics, Big Data and Data Science","Industry Applications, Data Science",Electives not specified; program emphasizes core topics.,Capstone project involving solving real-world data challenges.,Not required; program emphasizes applied learning.,Graduates develop expertise in solving complex data-driven challenges.,"Python, R, big data tools, machine learning, statistical methods.",Faculty from UC Chile's data science and computing departments.,Access to industry collaborations for capstone projects.,Research opportunities through capstone projects and applied learning.,
Pontifical Catholic University of Chile,Online Master's Degrees with Coursera,https://www.uc.cl/en/news/uc-chile-one-step-forward-to-offer-online-masters-degrees-with-coursera/,Online master's program offering flexibility and accessibility in data science and related areas.,Credit-based; details not specified.,"Flexible duration, self-paced.",Online,"Programming and Tools, Specialized Applications","Digital Transformation, AI, Data Management","Electives include Green Supply Chain, Agile Methodologies.",Capstone projects involving industry collaborations.,Not mandatory; practical projects emphasized.,Graduates gain interdisciplinary knowledge and hands-on skills in data science.,"Python, R, data mining, AI tools, governance and management.",Faculty from UC Chile and international collaborators.,Access to Coursera's global learning network.,Opportunities through capstone projects and online collaborations.,
University of Cape Town,Master of Science in Data Science,https://science.uct.ac.za/data-science/msc-data-science-program-uct,"Interdisciplinary program focusing on statistical sciences, computer science, and domain-specific knowledge",90 or 120 credits of coursework + minor dissertation,"1-2 years, full-time or part-time",On-campus,Data Management and Systems,"Astronomy, Particle Physics, Bioinformatics, Finance, Economics",Data Science for Astronomy (AST5004Z) – 12 credits,Bayesian Decision Modelling (STA5061Z) – 15 credits,Minor dissertation (60 or 90 credits),Optional Internship,Ability to analyze large datasets and develop data-driven solutions,"Statistical analysis, Python, data visualization, machine learning","Experts from Statistical Sciences, Computer Science, Astronomy","Access to labs in Astronomy, Bioinformatics, Financial Modeling",Research projects available through minor dissertation
University of Amsterdam,MSc in Information Studies: Data Science,https://www.uva.nl/shared-content/programmas/en/masters/information-studies-data-science/data-science.html,"Program focusing on theories and tools for data science, preparing students for data-driven projects",60 ECTS,"1 year, full-time",On-campus,Machine Learning (ML) and Artificial Intelligence (AI),"Flexible Electives, Data Visualization, Data Science","Electives such as Data-driven Business, Information Visualization, and core IS track courses","Master's thesis solving data-oriented problems in industry, government, or non-profit","Not explicitly required, practical experience encouraged via projects","Ability to explore and analyze data, solve scientific and business challenges with data solutions","Python, R, statistical analysis, machine learning, big data technologies, data visualization",Faculty from Informatics Institute with expertise in data science and analytics,"Research labs in machine learning, AI, and data analytics",Opportunities via thesis projects and collaborations with faculty and industry,
University of Auckland,Master of Data Science,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-data-science-mdats.html,"Comprehensive program that combines core subjects in statistics and computer science, with flexibility for specialization.",200 points (equivalent to 2 years full-time study),2 years full-time or up to 4 years part-time,On-campus,Uncategorized,"Flexible Electives, Machine Learning, Data Visualization, Data Engineering","75 points, including elective data science or professional skills subjects.",Capstone project (25 points) in which students apply data science tools to real-world problems.,Optional internship opportunities for credit in science or technology workplaces.,"Graduates will be prepared to manage and gain insights from large datasets, contributing to data-driven decision making.","Data analysis, machine learning, statistical inference, data visualization, predictive modeling.","Faculty from the Faculty of Science, experienced in data science and related disciplines.","Access to research labs within the Faculty of Science, collaborating on data science projects.",Research opportunities through capstone projects and industry internships.,
University of Melbourne,Master of Data Science,https://study.unimelb.edu.au/find/courses/graduate/master-of-data-science/,"A comprehensive program in data science that combines core subjects in statistics and computer science, with flexibility for specialization.",200 points (equivalent to 2 years full-time study),2 years full-time or up to 4 years part-time,On-campus,Uncategorized,"Flexible Electives, Machine Learning, Data Visualization, Data Engineering","75 points, including elective data science or professional skills subjects.",Capstone project (25 points) in which students apply data science tools to real-world problems.,Optional internship opportunities for credit in science or technology workplaces.,"Graduates will be prepared to manage and gain insights from large datasets, contributing to data-driven decision making in various industries.","Data analysis, machine learning, statistical inference, data visualization, predictive modeling.","Faculty from the Faculty of Science, experienced in data science and related disciplines.","Access to research labs within the Faculty of Science, collaborating on data science projects.",Research opportunities through capstone projects and industry internships.,
University of Nairobi,Master of Science in Data Science,https://mathematics.uonbi.ac.ke/admission-content-type/master-science-data-science,"Interdisciplinary program integrating statistics, mathematics, computing, and AI to address big data challenges",Minimum of twelve taught course units + research project equivalent to four course units,"2-6 years, depending on enrollment status",On-campus,"Miscellaneous, Machine Learning (ML) and Artificial Intelligence (AI), Big Data and Data Science","Public Health, Data Science","Advanced Machine Learning, NLP, Data Engineering, Business Analytics",Research project equivalent to four course units on real-world data science problems,Practicum involving attachment to a research institute or organization,"Proficiency in analyzing datasets, machine learning, and developing data-driven solutions","Python, R, statistical analysis, machine learning, data visualization, data ethics","Faculty from Mathematics Department with expertise in data analytics, AI, and computer science",Access to research groups and labs in machine learning and big data technologies,Research opportunities via the project component in collaboration with faculty and industry,
University of Oxford,MSc in Social Data Science,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-data-science,Program combining data science methods with social science research questions,"Completion of core courses, option modules, and a thesis (credits per guidelines)","1 year, full-time",On-campus,Big Data and Data Science,"Machine Learning, NLP, Social Network Analysis",Two option modules during the second term tailored to student interests,Research thesis addressing a substantive social data science question,"Not specified, practical experience emphasized in projects","Proficiency in analyzing social data, applying ML algorithms, and developing data-driven solutions","Python, machine learning, data visualization, social science research methodologies",Faculty from Oxford Internet Institute with expertise in social data science,"Access to labs and groups researching social science, data analytics, and ML",Research opportunities via thesis projects and collaboration with faculty,
University of Pretoria,Master of Information Technology (MIT) in Big Data Science,https://www.up.ac.za/school-of-information-technology/article/2324622/mit-in-big-data-science-stream-c,Multidisciplinary program focusing on innovative approaches for processing and analyzing large datasets,180 credits (90 credits coursework + 90-credit mini-dissertation),2-3 years part-time,Hybrid,Machine Learning (ML) and Artificial Intelligence (AI),"Computer Science, Mathematics, Statistics",Electives from participating departments based on research interests,Research-based mini-dissertation on a Big Data Science topic,"Not specified, practical experience through projects","Proficiency in analyzing large datasets, applying machine learning algorithms","R, Python, Spark, Hadoop, statistical analysis, data governance",Interdisciplinary faculty from Computer Science and other departments,"Access to research groups and labs in machine learning, big data technologies",Research opportunities via mini-dissertation and collaborations with faculty,
