University Name,Program Title,Program URL,Program Overview,Total Credit Hours/Units,Duration,Delivery Format,Core Courses,Specializations/Tracks,Elective Courses,Capstone/Project Requirement,Internship/Practicum,Program Learning Outcomes,Skills and Tools Emphasized,Faculty Profiles,Research Labs/Initiatives,Research Opportunities,Unnamed: 17
The University of Tokyo,Master of Science in Information Science and Technology,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,Program focusing on cultivating advanced researchers and engineers in information science and technology,Completion of coursework and research as per program guidelines,"2 years, full-time",On-campus,"Programming and Tools, Data Analysis and Statistics, Algorithms and Theory, Machine Learning (ML) and Artificial Intelligence (AI)","Computer Science, Mathematics, Physics, Communication Engineering",Electives tailored to specific research interests,Research thesis addressing real-world data science problems,"Not specified, practical experience through projects and research","Proficiency in data analysis, machine learning, and developing technological solutions","Python, R, statistical analysis, data mining, machine learning",Faculty from the Graduate School of Information Science and Technology with expertise in data science,"Access to research labs and groups in AI, ML, and data science",Research opportunities via thesis projects and faculty collaboration,
University of Toronto,Master of Science (MSc) in Computer Science,https://web.cs.toronto.edu/graduate/msc,A research-based MSc program designed to deepen knowledge in computer science with opportunities to specialize in data science topics.,2.0 graduate full-course equivalents (FCEs),Approximately 17 months (4 academic sessions full-time),On-campus,Uncategorized,No Formal Specialization,"Flexibility to choose electives in machine learning, data mining, big data analytics.","Research project (CSC4000Y) demonstrating independent research and problem-solving skills, suitable for peer-reviewed publication.",Not mandatory; emphasis on research-based learning.,"Ability to conduct independent research, analyze problems critically, and contribute original knowledge to computer science.","Python, Java, machine learning, data analysis, research methodologies.","Faculty with expertise in AI, machine learning, and data science.",Access to research labs like the Machine Learning Group and the Data Sciences Institute.,Research opportunities through projects and collaboration with faculty.,
University of São Paulo,MBA in Data Science,https://www.topuniversities.com/universities/universidade-de-sao-paulo/mba/mba-data-science,"Focuses on data science applications in industry, covering data analysis, machine learning, and big data.",Credit-based; specific details not provided.,Duration not specified; part-time format.,Hybrid,"Machine Learning (ML) and Artificial Intelligence (AI), Data Analysis and Statistics, Big Data and Data Science",Industry Applications,Electives not specified; focuses on core topics.,Solve workplace problems with the support of expert mentors.,Not required; program emphasizes practical problem-solving.,Graduates gain expertise in using data science for real-world challenges.,"Python, R, machine learning, big data tools, statistical analysis.",Faculty from the Institute of Mathematical and Computing Sciences.,Access to CeMEAI and ICMC/USP research centers.,Opportunities through capstone projects with industry partners.,
University of São Paulo,MBA in Data Science and Analytics,https://blog.mbauspesalq.com/en/2021/06/15/get-to-know-the-mba-in-data-science-and-analytics-usp-esalq/,"Distance education MBA program covering data science, analytics, AI, IoT, and deep learning.",Credit-based; details not specified.,"18 months, part-time.",Online,"Programming and Tools, Specialized Applications, Data Management and Systems","Digital Transformation, Industry Applications","Electives include Green Supply Chain, IT and Technological Innovation.",Capstone project involving real-world data challenges.,Not mandatory; practical experience emphasized through the capstone.,Graduates acquire interdisciplinary knowledge and advanced analytics skills.,"Python, R, AI tools, data management systems.",Faculty from USP/Esalq and collaborating departments.,No specific research labs mentioned; program focuses on practical applications.,Opportunities through capstone projects and applied learning.,
University of São Paulo,Graduate Program in Probability and Statistics,https://www.ime.usp.br/en/graduate/statistics/,"Master's and Doctorate program focusing on probability, biostatistics, machine learning, and time series.",Credit-based; specific details not provided.,"2 years for Master's, full-time.",On-campus,Data Analysis and Statistics,"Complex Systems, Statistics",Electives in advanced statistical topics and machine learning.,Master's thesis or Doctorate dissertation required.,Not specified; research-oriented program.,Graduates are proficient in advanced statistical analysis and modeling.,"Python, R, statistical methods, machine learning algorithms.",Faculty from the Institute of Mathematics and Statistics.,Access to research labs focusing on biostatistics and machine learning.,Research opportunities through thesis projects and faculty collaboration.,
University of Cambridge,MPhil in Machine Learning and Machine Intelligence,https://www.postgraduate.study.cam.ac.uk/courses/directory/egegmpmsl,"An 11-month full-time program emphasizing advanced topics in machine learning and artificial intelligence, with specialization pathways and a research project. The program offers pathways in Machine Learning, Speech and Language Processing, Computer Vision and Robotics, and Human-Computer Interaction.",180 credits (combination of taught modules and research project),"11 months, full-time",On-campus,Uncategorized,"Machine Learning, NLP, Computer Vision, Robotics, Human-Computer Interaction",Students can choose one elective module from across the MPhil and the undergraduate engineering syllabus.,Research project culminating in a dissertation and seminar presentation.,Not included; the program focuses on academic and research experience.,"Graduates will gain advanced knowledge in machine learning and machine intelligence, critical assessment skills, and marketable skills for data science careers.","Computing, programming, data analysis, research methodologies, critical thinking, problem-solving.","Faculty from the Machine Learning Group, Speech Group, and Computer Vision and Robotics Group.","Access to research groups like the Computational and Biological Learning Group, Speech Group, and Computer Vision and Robotics Group.",Opportunities through the dissertation project to engage in cutting-edge research in specialization areas.,
University of Washington (USA),Master of Science in Data Science (MSDS),https://www.datasciencemasters.uw.edu,"The MSDS program at the University of Washington is designed to equip students with advanced technical, analytical, and problem-solving skills in data science. The curriculum focuses on the practical application of data science techniques in areas such as machine learning, data visualization, and data engineering.",45 credits,"18 to 24 months, part-time",Hybrid,Uncategorized,"Big Data, Deep Learning, NLP, Business Analytics","Students can select from a variety of electives across computer science, statistics, and applied fields to tailor their studies to specific career goals.","The program includes a capstone project where students solve real-world problems, often in collaboration with industry partners.","Internships are not mandatory but encouraged, leveraging the program's connections with Seattle's tech industry.",Graduates will: Develop strong computational and analytical skills; Gain expertise in applying machine learning and data science techniques to real-world problems; Build a professional portfolio through capstone projects.,"Python, R, SQL, Hadoop, Spark, TensorFlow, Tableau, and statistical modeling tools.","The program is delivered by faculty members from the Departments of Statistics and Computer Science & Engineering, alongside industry professionals.",Students have access to research labs like the eScience Institute and may engage in interdisciplinary collaborations.,"Research opportunities are available through the capstone project, collaborations with faculty, and industry partnerships.",
"University of Michigan, Ann Arbor (USA)",Master of Applied Data Science (MADS),https://www.si.umich.edu/programs/master-applied-data-science,"The MADS program focuses on the application of data science at the intersection of people and technology. It provides comprehensive training in data collection, computation, and analytics, emphasizing real-world problem-solving.",34 credit hours,12 to 36 months (flexible),Online,Uncategorized,"Flexible Electives, Data Science","The program culminates in a capstone project, applying knowledge to solve real-world data science problems.","Graduates will: Develop technical skills to use data science for decision-making; Explore data mining, machine learning, and data visualization; Communicate insights effectively.","Data analysis, machine learning, statistical modeling, Python, R, data visualization techniques.",Courses are taught by renowned University of Michigan faculty considered leaders in the field.,"Students have access to research groups focusing on data science, machine learning, and related areas.",Opportunities are available through the capstone project or collaborations with industry partners.,,,
University of Illinois Urbana-Champaign (USA),Master of Computer Science in Data Science (MCS-DS),https://siebelschool.illinois.edu/academics/graduate/professional-mcs/online-master-computer-science-data-science,"The MCS-DS is a non-thesis, coursework-only program requiring 32 credit hours of graduate coursework, completed through eight graduate-level courses. It focuses on data visualization, machine learning, data mining, and cloud computing.",32 credit hours,Typically 1.5–2 years (flexible),Online,Uncategorized,"Data Science, Computational Methods",No thesis or capstone required (coursework-only degree).,Graduates are uniquely qualified to enter high-paying and in-demand data science career tracks.,"Computing, programming, data analysis, critical thinking, and problem-solving.",Delivered by experienced faculty from the Siebel School of Computing and Data Science.,Opportunities for collaboration with research groups in data science and machine learning.,Available through faculty collaboration and coursework-based projects.,,,
University of Melbourne (Australia),Master of Data Science,https://study.unimelb.edu.au/find/courses/graduate/master-of-data-science/,"The Master of Data Science at the University of Melbourne equips students with the skills to analyze, interpret, and apply data science techniques to a range of real-world problems. The program combines computer science, statistics, and machine learning with practical applications.",200 credit points,2 years full-time,On-campus,Uncategorized,"AI, Health Data Analytics, Computational Biology","Elective options may include deep learning, big data systems, natural language processing, and advanced statistical methods.","Students complete a capstone project or research thesis, allowing them to tackle industry-relevant or academic research problems.",Internships are optional but encouraged. The program offers opportunities for collaboration with industry partners.,"Graduates will: Develop expertise in statistical and computational methods; Gain proficiency in data science tools and techniques; Be prepared to work across industries, solving complex data-driven problems.","Python, R, SQL, Hadoop, Spark, TensorFlow, data visualization tools, and statistical modeling software.","The program is delivered by faculty from the School of Computing and Information Systems and the School of Mathematics and Statistics, both renowned for their research contributions.",Students have access to research groups and initiatives such as the Melbourne Centre for Data Science and interdisciplinary projects.,"Opportunities include thesis projects, research assistantships, and collaborations with faculty or industry.",
Columbia University (USA),M.S. in Data Science,https://datascience.columbia.edu/education/ms-in-data-science/,"Columbia's M.S. in Data Science program provides students with a comprehensive understanding of the methods, algorithms, and tools used to process and analyze data. It combines coursework in computer science, statistics, and machine learning with a strong emphasis on real-world applications.",30–36 credits,1.5 to 2 years full-time,On-campus,Uncategorized,"NLP, Cybersecurity, Finance, Data Analytics","Electives allow students to focus on advanced topics like deep learning, big data systems, and cloud computing.","A capstone project or research thesis is required, where students work on solving complex, real-world problems under faculty supervision.","Internships are encouraged, with access to Columbia’s extensive industry network.","Graduates will: Gain expertise in statistical modeling, machine learning, and big data technologies; Develop the ability to apply data science techniques to interdisciplinary problems; Communicate effectively with both technical and non-technical audiences.","Python, R, SQL, Hadoop, Spark, TensorFlow, and advanced machine learning libraries.",The program is taught by renowned faculty members from Columbia’s Data Science Institute and affiliated departments.,Students have access to cutting-edge research facilities and initiatives under Columbia’s Data Science Institute.,"Opportunities are available through thesis projects, internships, and collaborations with industry partners.",
EPFL - École Polytechnique Fédérale de Lausanne (Switzerland),MSc in Data Science,https://www.epfl.ch/education/master/programs/data-science/,"EPFL's MSc in Data Science provides rigorous training in the core methodologies and tools of data science. The program focuses on computational, algorithmic, and mathematical foundations, alongside applications in engineering, natural sciences, and other domains.",120 ECTS,2 years full-time,On-campus,Uncategorized,"AI, Data Engineering, Computational Methods, Statistics","Students can select electives to tailor their studies toward advanced topics, including robotics, computer vision, and natural language processing.",The program culminates in a Master’s thesis where students work on solving a real-world problem in collaboration with faculty or industry partners.,Internships are optional but encouraged. Students may take advantage of EPFL’s industry connections to gain practical experience.,Graduates will: Develop strong analytical and programming skills; Gain expertise in handling and interpreting large-scale data; Be equipped to tackle interdisciplinary problems using data science methodologies.,"Python, R, MATLAB, TensorFlow, Spark, Hadoop, and other cutting-edge technologies for big data and AI.",The program is taught by internationally renowned faculty members from EPFL’s School of Computer and Communication Sciences.,Students have access to state-of-the-art research facilities and can collaborate with EPFL research groups like the Swiss Data Science Center (SDSC).,Ample opportunities for research are available through thesis projects and collaborations with EPFL’s interdisciplinary labs.,
University of Sydney,Master of Data Science,https://www.sydney.edu.au/courses/courses/pc/master-of-data-science0.html,"The Master of Data Science is tailored for professionals who want to explore data mining, machine learning, and data visualization, and develop the skills to communicate data-driven insights to key stakeholders effectively.",96 credit points,1.5 years full-time; up to 3 years part-time,On-campus,Uncategorized,"Flexible Electives, Data Science",Big Data Management; Advanced Data Models; Data Analytics and Business Intelligence; Statistical Methods for Data Scientists,"A capstone project or dissertation is required, providing hands-on experience in solving real-world data science problems.","While not mandatory, students have opportunities to engage in internships or industry projects, leveraging the university's connections with various sectors.","Graduates will: Develop analytical and technical skills to use data science to guide strategic decision-making; Explore data mining, machine learning, and data visualization; Communicate data-driven insights effectively to key stakeholders.","Data analysis, machine learning, statistical modeling, programming (Python, R), and data visualization techniques.","The program is delivered by experienced faculty members from the School of Computer Science, who are active researchers in various data science domains.","Students have access to state-of-the-art research facilities and may engage with research groups focusing on data science, machine learning, and related areas.","Opportunities are available through the capstone project or dissertation, with potential for collaboration with industry partners or participation in cutting-edge research initiatives.",
Delft University of Technology (TU Delft),MSc in Computer Science – Data Science & Technology Track,https://www.tudelft.nl/en/education/programmes/masters/cs/msc-computer-science,"The MSc in Computer Science at TU Delft offers a Data Science & Technology (DST) track, focusing on engineering and developing systems capable of processing and interpreting massive datasets to extract information and gain understanding. The track addresses fundamental and practical issues in data analysis, including data security, visualization, decision-making, and high-performance computing algorithms.",120 ECTS,2 years full-time,On-campus,Uncategorized,"Algorithms, Machine Learning, Information Management, Distributed Systems, Cybersecurity","Students have the flexibility to select electives that deepen or broaden their knowledge, aligning with personal interests and career goals.","The program concludes with a master's thesis project, where students conduct research under the supervision of a thesis supervisor, applying their knowledge to real-world challenges.","While not mandatory, students have opportunities to engage in internships or collaborative projects with industry partners, leveraging TU Delft's strong connections with the tech industry.",Graduates will: Possess a deep understanding of theoretical concepts and practical applications in computer science; Be capable of responsibly engineering solutions to digital society challenges; Have specialized expertise in data science and technology.,"Data analysis, machine learning, software engineering, high-performance computing, data visualization, and research methodologies.","The program is delivered by experienced faculty members from the Faculty of Electrical Engineering, Mathematics, and Computer Science, who are active researchers in various computer science domains.","Students have access to state-of-the-art research facilities and may engage with research groups focusing on data science, machine learning, and related areas.","Opportunities are available through the master's thesis project, with potential for collaboration with industry partners or participation in cutting-edge research initiatives.",
University of Warwick,MSc in Data Analytics,https://warwick.ac.uk/study/postgraduate/courses/msc-data-analytics,"Designed for technically-minded graduates with backgrounds in computer science, mathematics, or physical sciences, this program provides a distinctive perspective on data analytics by combining aspects of computer science, business, engineering, and mathematics. It aims to equip students with the technical skills and expertise needed to pursue opportunities at the forefront of this emerging discipline.",180 CATS credits,1 year full-time,On-campus,Uncategorized,"Flexible Electives, Data Analytics",Optional modules include: High Performance Computing; Algorithmic Game Theory; Image and Video Analysis; Agent Based Systems; Sensor Networks and Mobile Data Communications; Advanced Computer Security; Natural Language Processing,"A dissertation project undertaken primarily in the second half of the course, offering the opportunity to specialize and explore areas of interest in greater depth.",Not specified; the program focuses on academic and research experience.,Graduates will develop: Expertise in data analytics techniques; Ability to apply these techniques to real-world problems; Critical thinking and problem-solving skills; Research experience in data analytics.,"Data mining, machine learning, statistical analysis, programming, and research methodologies.","The program is delivered by the Department of Computer Science, which is ranked 4th in the UK (REF 2021) and is a research leader in data analytics.",Students have access to the department's research facilities and may engage with various research groups.,"Opportunities are available through the dissertation project, with potential for collaboration with industry partners.",
Australian National University (ANU),Master of Machine Learning and Computer Vision (MMLCV),https://cecc.anu.edu.au/study/postgraduate/master-machine-learning-computer-vision/,This two-year master's program provides students with specific knowledge and prepares them with competitive professional skills to build their career in the field of Machine Learning and Computer Vision.,96 units,2 years full-time,On-campus,Uncategorized,Flexible Electives,"A range of electives is available, including Robotics; Artificial Intelligence; Data Mining; Statistical Machine Learning","Students may undertake a research project or thesis, providing hands-on experience in solving real-world problems.","While not mandatory, students have opportunities to engage in internships with organizations such as Seeing Machines, Nvidia, and CSIRO.",Graduates will: Understand and solve computer vision and visual perception problems; Conduct concept design and experimental analysis; Implement techniques in real-world applications.,"Programming (Python, MATLAB), machine learning frameworks (TensorFlow, PyTorch), data analysis, and research methodologies.","The program is delivered by leading faculty from the ANU College of Engineering, Computing and Cybernetics, including experts in machine learning and computer vision.","Students have access to state-of-the-art facilities such as the ANU supercomputer NCI, which is the Southern Hemisphere’s most highly-integrated supercomputer and file systems, and Australia’s highest performance research cloud.","Opportunities are available through research projects, internships, and collaborations with industry partners.",
London School of Economics and Political Science (LSE),MSc in Data Science,https://www.lse.ac.uk/study-at-lse/graduate/msc-data-science,"The MSc Data Science program offers in-depth training at the forefront of machine learning and data science. It seeks applicants with a solid quantitative background and a strong interest in statistics, mathematics, and programming. The program provides theoretical foundations and computational skills to deploy state-of-the-art data science methods and tackle real-world challenges across various application domains.",4 units,1 year full-time; 2 years part-time (available to Home students only),On-campus,Uncategorized,"Flexible Electives, Data Analytics, Machine Learning, Finance","Options from related departments, including economics, computer science, and public policy.",A project or dissertation based on real-world data science challenges.,"Encouraged but not mandatory, with support through LSE’s career services.","Graduates will gain advanced skills in statistics, computational tools, and machine learning algorithms, with practical expertise in handling large datasets.","Python, R, MATLAB, SQL, machine learning frameworks, and cloud computing tools.","LSE boasts a distinguished faculty across data science, statistics, and computer science disciplines.",Students may benefit from the LSE Data Science Institute and collaborative research projects.,Available through project work and faculty-led initiatives.,
University of Edinburgh,MSc in Data Science,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2024&id=104,"This program focuses on the computational principles, methods, and systems for extracting and structuring knowledge from data. It addresses the challenges of handling large datasets generated across various sectors, including science, society, and commerce.",180 credits,1 year full-time; 2 or 3 years part-time,On-campus,Uncategorized,"Machine Learning, Statistics, Data Science, Computer Vision, Industry Applications","A variety of optional courses are available, allowing students to tailor their studies to specific interests within data science.",A substantial independent research project culminating in a dissertation.,Not specified; the program emphasizes academic and research experience.,Graduates will develop: A breadth of knowledge across data science areas; Advanced technical skills in at least one data science area; An appreciation for real-world data applications in various sectors; Research experience in data science.,"Computational methods, data analysis, machine learning, statistical modeling, and research methodologies.","The program is delivered by the School of Informatics, comprising approximately 150 academic staff members.","Students have access to facilities within the School of Informatics, including dedicated computing labs and study spaces.","Opportunities are available through the dissertation project, with potential for industry collaboration.",
"University of California, San Diego",Master of Advanced Study in Data Science and Engineering,Insert URL,"A professional master's degree designed for working professionals, focusing on the integration of data science techniques and engineering principles. The program combines foundational knowledge, specialized electives, and a capstone project for practical experience.",40–44 units (varies based on electives and capstone/project requirements),"2 years, part-time",Hybrid,Uncategorized,"Deep Learning, NLP, Data Architecture","Wide range of electives in fields like AI, computational statistics, cloud computing, and business intelligence.","A capstone project or equivalent hands-on experience is required, focusing on real-world data science applications.","Optional, as the program is designed for working professionals who may already be engaged in industry.","Graduates gain applied knowledge in data science principles, engineering techniques, and the ability to implement scalable solutions to data challenges.","Python, R, SQL, cloud computing platforms, data visualization libraries, and machine learning frameworks.",Faculty from the Department of Computer Science and Engineering and affiliated data science research centers.,Opportunities to collaborate with UCSD’s Halıcıoğlu Data Science Institute or other interdisciplinary research initiatives.,Limited to capstone projects or collaboration with faculty on applied research topics.,
Carnegie Mellon University,Master of Computational Data Science (MCDS),https://mcds.cs.cmu.edu/,"A professional master’s degree focusing on foundational and applied computational data science. The program offers students a strong grounding in core data science concepts, advanced specialization options, and hands-on project experience to tackle real-world challenges.",144 units (combination of coursework and capstone project),"16–20 months, full-time",On-campus,Uncategorized,"Data Analytics, Data Science","Students can choose electives from advanced topics such as deep learning, computer vision, reinforcement learning, and big data systems.",A capstone project where students work in teams to solve a complex real-world problem using computational data science techniques.,Internships are optional but highly encouraged and supported through CMU’s career services.,"Graduates will gain expertise in computational data science, advanced analytics, systems development, and practical skills in solving interdisciplinary problems.","Programming (Python, R, Java, etc.), data engineering, cloud platforms, machine learning frameworks, and visualization tools.","Taught by leading faculty from CMU’s School of Computer Science, recognized for contributions in machine learning, systems, and HCI.",Machine Learning Department; Software and Societal Systems Department; Human-Computer Interaction Institute,"Opportunities for research are available, especially for students pursuing the thesis option, through departmental and cross-departmental research initiatives.",
Sciences Po (France),Master in Data Science for Public Policy,https://www.sciencespo.fr,"The Master in Data Science for Public Policy integrates advanced data science methodologies with public policy analysis. Students develop the technical and analytical skills necessary to address modern governance and policy challenges in sectors such as government, NGOs, and international organizations. The program emphasizes ethical considerations, transparency, and practical applications of data science to societal problems.",120 ECTS,2 years full-time,On-campus,Uncategorized,"Environmental Policy, Health Policy, Data Analytics",Artificial Intelligence in Public Administration; Big Data and Predictive Analytics for Public Services; Ethical Frameworks for AI and Data Use,"A final capstone project where students tackle real-world policy issues using data science techniques, often in collaboration with government agencies, NGOs, or international organizations.","Students complete a mandatory internship, leveraging Sciences Po's extensive network of public and private sector partners.",Graduates will: Combine data science expertise with policy-making processes; Develop actionable insights for governance and public services; Understand and address ethical challenges in the application of data science.,"Python, R, SQL, Tableau, machine learning frameworks, and econometric modeling tools.","Courses are delivered by renowned faculty with expertise in data science, public policy, and economics, alongside guest lectures from policy practitioners.",Students have access to Sciences Po’s research centers such as the Sciences Po Data Science Center and collaborations with European think tanks.,"Opportunities are available through the capstone project, faculty-led research initiatives, and partnerships with public sector organizations.",
Aalto University (Finland),"Master's in Computer, Communication, and Information Sciences (Machine Learning and Data Science track)",https://www.aalto.fi/en/study-options/machine-learning-data-science-and-artificial-intelligence-computer-communication-and-information,"This data-intensive major equips students with the knowledge and tools to navigate the rapidly evolving field of artificial intelligence (AI). Graduates are prepared to address some of the most challenging problems of the 21st century, such as developing solutions to combat climate change or understanding the causes of epidemics.",120 ECTS,2 years full-time,On-campus,Uncategorized,"Machine Learning, Data Science, AI, Flexible Electives","The program culminates in a Master's thesis, applying knowledge to research problems or practical challenges.",Graduates will: Formalize data-intensive problems in data science and AI; Select and apply suitable machine learning methods; Interpret and communicate findings; Implement and design state-of-the-art machine learning methods; Contribute to AI research responsibly and ethically.,"Computational data analysis, statistical modeling, algorithm design, machine learning frameworks and tools.","Courses are delivered by experienced faculty from the Departments of Computer Science and Information and Communications Engineering, actively involved in leading-edge research.","Access to research groups and labs focusing on machine learning, data science, and AI, with opportunities for cutting-edge research projects.","Available through coursework, thesis projects, and collaboration with faculty on ongoing research initiatives.",,,
The Hong Kong University of Science and Technology (HKUST) (Hong Kong),MSc in Big Data Technology,https://seng.hkust.edu.hk/academics/taught-postgraduate/msc-bdt,"The MSc in Big Data Technology is an interdisciplinary program designed to equip students with comprehensive knowledge and skills in big data analytics, management, and applications. Students gain proficiency in data analytics, mining, computing, and the societal implications of big data systems.",30 credits,Full-time: 1 year; Part-time: 2 years,On-campus,Uncategorized,"Data Visualization, Quantitative Analysis, Finance, Mathematics, Machine Learning, Statistics","Students can undertake an independent project, applying their knowledge to real-world problems under faculty supervision.",Graduates will: Identify and utilize big data infrastructure; Perform data analytics using big data management and computing techniques; Derive insights for privacy protection and policy-making; Conduct original research in big data.,"Data analytics, data mining, big data computing, mathematical methods for data analysis.","Courses are taught by experienced faculty from the Departments of Computer Science and Engineering and Mathematics, who are actively engaged in research and industry collaborations.","Access to HKUST's research centers and labs focusing on big data, machine learning, and related areas.","Opportunities are available through independent projects, faculty-led research, and collaborations with industry partners.",,,
Seoul National University (SNU) (South Korea),MS in Data Science and Artificial Intelligence,https://en.snu.ac.kr/academics/programs/graduate,"The MS in Data Science and Artificial Intelligence at SNU integrates theoretical foundations with practical applications. Students engage in interdisciplinary coursework and research, focusing on machine learning, data analysis, and AI technologies. The program emphasizes ethical considerations and the societal impact of AI.",24 credit hours,2 years full-time,On-campus,Uncategorized,"Data Science, AI, Flexible Electives","The program culminates in a Master's thesis, applying acquired knowledge to a research problem or practical challenge.",Graduates will: Develop a deep understanding of data science and AI principles; Apply advanced machine learning techniques; Conduct independent research; Address ethical and societal implications of AI technologies.,"Machine learning algorithms, data analysis, programming languages such as Python and R, and AI frameworks and tools.","Courses are delivered by experienced faculty from the Graduate School of Data Science and the Artificial Intelligence Institute at SNU, who are actively involved in leading-edge research.","Access to research groups and labs focusing on machine learning, data science, and AI, providing opportunities to engage in cutting-edge research projects.","Available through coursework, thesis projects, and collaboration with faculty on ongoing research initiatives.",,,
CentraleSupélec (France) in partnership with ESSEC Business School,Master in Data Science and Business Analytics (DSBA),https://www.centralesupelec.fr/en/master-data-sciences-business-analytics-dsba,"The DSBA program combines the expertise of CentraleSupélec and ESSEC Business School to provide a hybrid curriculum integrating data sciences, business analytics, and digital strategy. Students gain both theoretical foundations and practical applications to address complex business challenges using data-driven approaches.",120 ECTS,"1 or 2 years, depending on background and degree",On-campus,Uncategorized,"Data Science, Business Analytics, Digital Transformation","Up to 18 advanced elective courses, allowing students to tailor their studies to specific career goals.","Includes a capstone project where students solve real-world problems, often in collaboration with industry partners.","Internships are encouraged, leveraging the program's connections with various industries.",Graduates will: Develop strong computational and analytical skills; Gain expertise in applying machine learning and data science techniques; Build a professional portfolio through capstone projects.,"Python, R, SQL, Hadoop, Spark, TensorFlow, Tableau, statistical modeling tools.","Faculty members from CentraleSupélec and ESSEC Business School, alongside industry professionals.","Access to interdisciplinary research opportunities and labs focused on data science, machine learning, and analytics.","Available through capstone projects, faculty-led research, and collaborations with industry partners.",
